source,target,actioncode,hours,Feature,Exceptionsyntax
ORACLE,POSTGRESQL,5353,40,SYNONYMS,USING SYNONYMS
ORACLE,POSTGRESQL,5415,160,TRIGGERS,base-object-type=DATABASE
ORACLE,POSTGRESQL,5500,8,System Package,UTL_MAIL module
ORACLE,POSTGRESQL,5501,1.5,System Package - DBMS_Schedling,DBMS_JOB module
ORACLE,POSTGRESQL,5502,2,System Package - dbms_datadump,DBMS_DATAPUMP
ORACLE,POSTGRESQL,5503,8,System Package -APEX,APEX_UTIL package
ORACLE,POSTGRESQL,5550,1,CREATE TABLE,ROWID Data Type
ORACLE,POSTGRESQL,5551,1,CREATE TABLE,UROWID Data Type
ORACLE,POSTGRESQL,5552,0.5,CREATE TABLE, TIMESTAMP(n>6)  WITH TIME ZONE Data Type
ORACLE,POSTGRESQL,5553,0.5,CREATE TABLE, TIMESTAMP(n>6) WITH LOCAL TIME ZONE  Data Type
ORACLE,POSTGRESQL,5554,2,CREATE TABLE,TABLE WITH VIRTUAL COLUMNS 
ORACLE,POSTGRESQL,5555,40,CREATE INDEX,Creating a Function-Based Index
ORACLE,POSTGRESQL,5556,4,TRIGGERS,UPDATING(column_name)
ORACLE,POSTGRESQL,5557,8,SELECT,ROLLUP
ORACLE,POSTGRESQL,5558,8,UPDATE,PARTITION
ORACLE,POSTGRESQL,5559,2,EXPLICIT CURSORS,RETURN
ORACLE,POSTGRESQL,5560,1,EXCEPTION,PROGRAM_ERROR
ORACLE,POSTGRESQL,5561,1,EXCEPTION,ACCESS_INTO_NULL 
ORACLE,POSTGRESQL,5569,40,PACKAGES,Package user type declaration
ORACLE,POSTGRESQL,5571,0.5,PRAGMA,Pragma
ORACLE,POSTGRESQL,5572,8,CREATE TYPE,OBJECT TYPE
ORACLE,POSTGRESQL,5574,8,SEQUENCE,STATUS=INVALID
ORACLE,POSTGRESQL,5575,8,UDT,DEFAULT
ORACLE,POSTGRESQL,5576,2.5,Unknown,Unparsed SQL
ORACLE,POSTGRESQL,5577,40,UDT,STATUS=INVALID
ORACLE,POSTGRESQL,5578,2,SELECT,Unsupported statement
ORACLE,POSTGRESQL,5579,8,BUILT-IN SQL FUNCTIONS,TO_CHAR-TO_DATE-TO_NUMBER
ORACLE,POSTGRESQL,5580,2,EXCEPTION,EMPTY_BLOCK
ORACLE,POSTGRESQL,5581,0.1,CREATE TABLE,index-organized table
ORACLE,POSTGRESQL,5582,2,CREATE,Encrypted Objects
ORACLE,POSTGRESQL,5583,40,VIEW,constraint
ORACLE,POSTGRESQL,5584,0.5, BUILT-IN SQL FUNCTIONS,DateTime function
ORACLE,POSTGRESQL,5585,0.5,SELECT ,OUTER JOIN
ORACLE,POSTGRESQL,5586,1,SELECT ,Hierarchical Queries
ORACLE,POSTGRESQL,5587,8,UDT collection-type arguments,EXTEND(n[-i])
ORACLE,POSTGRESQL,5590,0.1,Build_in_services,UTL_SMTP DBMS_JOB
ORACLE,POSTGRESQL,5591,0.01,Universal ORACLE Views,Supported by Extensions
ORACLE,POSTGRESQL,5592,0.25,Synonym,public synonym
ORACLE,POSTGRESQL,5593,0.25,Synonym,public synonym
ORACLE,POSTGRESQL,5594,0.5,Datetime Expressions,LOCAL time zone
ORACLE,POSTGRESQL,5595,0.01,ROWID,ROWID
ORACLE,POSTGRESQL,5597,0.01,ROWID,ROWID
ORACLE,POSTGRESQL,5598,1,ROWID,ROWID
ORACLE,POSTGRESQL,5599,0.5,Error Information,SQLERRM outside a handler
ORACLE,POSTGRESQL,5600,0.1,Error Information,SQLERRM outside a handler
ORACLE,POSTGRESQL,5601,0.5,Error Information,SQLCODE outside a handler
ORACLE,POSTGRESQL,5602,4,Error Information,SQLCODE assigned to other variable
ORACLE,POSTGRESQL,5603,4,Conditional Compilation ,Conditional Compilation 
ORACLE,POSTGRESQL,5604,0.5,Global Cursors,FETCH without OPEN
ORACLE,POSTGRESQL,5605,4,DBLINK,@dblink_name
ORACLE,POSTGRESQL,5606,8,Nested tables,Multi-level nested tables of record
ORACLE,POSTGRESQL,5607,8,FUNCTION-PROCEDURE,Stored Java routine
ORACLE,POSTGRESQL,5608,4,UPDATE,UPDATE
ORACLE,POSTGRESQL,5609,40,CREATE TABLE OR PROCEDURE,Unsuported Data Type
ORACLE,POSTGRESQL,5610,0.0001,Synonym,using synonym
ORACLE,POSTGRESQL,5611,1,Transaction control,SAVEPOINT-ROLLBACK TO SAVEPOINT
ORACLE,POSTGRESQL,5612,2,Global Cursors,FETCH without OPEN
ORACLE,POSTGRESQL,5613,4,ARRAYS,Multidimensional arrays
ORACLE,POSTGRESQL,5614,4,Views,Updatable views
ORACLE,POSTGRESQL,5615,2,Records,Multi-level records
ORACLE,POSTGRESQL,5616,8,TABLE FUNCTION,TABLE
ORACLE,POSTGRESQL,5617,0.05,BUILT-IN SQL FUNCTIONS,Regular expressions (REG_EXP)
ORACLE,POSTGRESQL,5618,4,MERGE,ERROR LOG
ORACLE,POSTGRESQL,5619,4,SYS objects,SYS objects
ORACLE,POSTGRESQL,5620,4,CREATE TABLE, CREATING GLOBAL TEMPORARY TABLE 
ORACLE,POSTGRESQL,5621,2,MERGE,INSERT ON CONFLICT
ORACLE,POSTGRESQL,5622,2,PACKAGES,TRANSACTION ID
ORACLE,POSTGRESQL,5623,4,PACKAGES,UUE encode/decode
ORACLE,POSTGRESQL,5624,1,DYNAMIC SQL,BIND VARIABLES
ORACLE,POSTGRESQL,5625,1,DYNAMIC SQL,BIND VARIABLES-ANONYMOUS BLOCK
ORACLE,POSTGRESQL,5626,4,PACKAGES,DBMS_SESSION
ORACLE,POSTGRESQL,5627,2,DYNAMIC SQL,DYNAMIC SQL
ORACLE,POSTGRESQL,5628,2,DYNAMIC SQL,EXECUTE IMMEDIATE OPEN cursor FOR
ORACLE,POSTGRESQL,5629,5,DYNAMIC SQL,DBMS_SQL
ORACLE,POSTGRESQL,5630,5,DYNAMIC SQL,DBMS_SQL
ORACLE,POSTGRESQL,5631,8,SPATIAL,SPATIAL
ORACLE,POSTGRESQL,5632,8,SPATIAL,SPATIAL
ORACLE,POSTGRESQL,5633,2,DYNAMIC SQL,DBMS_SQL
ORACLE,POSTGRESQL,5634,2,DYNAMIC SQL,UDF with OUT/IN OUT parameters
ORACLE,POSTGRESQL,5635,0.5,CREATE TABLE,CREATING A PARTITIONED TABLE
ORACLE,POSTGRESQL,5636,4,ARRAY,VARRAY OF VARRAY
ORACLE,POSTGRESQL,5637,16,SELECT,SELECT BUlK COLLECT INTO
ORACLE,POSTGRESQL,5638,2,Global Nested Table,Using with IN/IN OUT parameters
ORACLE,POSTGRESQL,5639,0.5,DBLINK,access credentials
ORACLE,POSTGRESQL,5640,0.25,DBLINK,access credentials
ORACLE,POSTGRESQL,5641,2,DBLINK,remote UDF usage
ORACLE,POSTGRESQL,5642,,BULK,BULK COLLECT INTO
ORACLE,POSTGRESQL,5643,24,BULK,SELECT BUlK COLLECT INTO
ORACLE,POSTGRESQL,5644,4,ASSOCIATIVE ARRAY/GLOBAL NESTED TABLE,array assigning
ORACLE,POSTGRESQL,5645,24,BULK,SELECT BUlK COLLECT INTO
ORACLE,POSTGRESQL,5646,8,SUBTYPE,SUBTYPE ...%ROWTYPE NOT NULL
ORACLE,POSTGRESQL,5648,8,Multilevel collections,Use of heterogeneous collections
ORACLE,POSTGRESQL,5649,48,Multilevel collections,Multiset operators
ORACLE,POSTGRESQL,5650,2,MULTISET,Multiset operators
ORACLE,POSTGRESQL,5651,8,TABLE(),PIPELINED FUNCTIONS
ORACLE,POSTGRESQL,5652,2,CREATE PARTITIONED TABLE,PARTITIONED TABLE
ORACLE,POSTGRESQL,5653,3,CREATE PARTITIONED TABLE,PARTITIONED TABLE-Foreign key
ORACLE,POSTGRESQL,5654,2,CREATE PARTITIONED TABLE,PARTITIONED TABLE-Foreign key
ORACLE,POSTGRESQL,5655,2,CREATE PARTITIONED TABLE,PARTITIONED TABLE-ENABLE ROW MOVEMENT
ORACLE,POSTGRESQL,5656,0.5,CREATE PARTITIONED TABLE - TIMESTAMP Partition ,PARTITIONED TABLE
ORACLE,POSTGRESQL,5657,2,DBLINK,view on remote table
ORACLE,POSTGRESQL,5658,2,CREATE PARTITIONED TABLE,PARTITIONED TABLE
ORACLE,POSTGRESQL,5659,0.1,CREATE TABLE - LOB COLUMNS,LOB COLUMNS
ORACLE,POSTGRESQL,5664,0.5,PRAGMA AUTONOMOUS_TRANSACTION,
ORACLE,POSTGRESQL,5850,2,Session control,SET ROLE
ORACLE,POSTGRESQL,5950,2,SQL*Plus,SQL*Plus Command
ORACLE,POSTGRESQL,5951,2,SQL*Plus,SQL*Plus Variable
ORACLE,POSTGRESQL,5952,2,SQL*Plus,SQL*Plus Substitution Variable
ORACLE,POSTGRESQL,5953,2,SQL*Plus,SQL*Plus System Setting
ORACLE,POSTGRESQL,5954,2,SQL*Plus,SQL*Plus Output Formatting
ORACLE,POSTGRESQL,5955,2,SQL*Plus,SPOOL APPEND
ORACLE,POSTGRESQL,5956,2,SQL*Plus,SQL*Plus Command
ORACLE,POSTGRESQL,5957,2,SQL*Plus,SQL*Plus Command-SQL Statement-Substitution Variable
ORACLE,POSTGRESQL,5958,2,SQL*Plus-DDL,TABLESPACE
ORACLE,POSTGRESQL,5959,2,SQL*Plus-DDL,ALTER USER
ORACLE,POSTGRESQL,5960,2,SQL*Plus-DDL,GRANT
ORACLE,POSTGRESQL,5961,0.5,SQL*Plus-DDL,GRANT ROLE
ORACLE,POSTGRESQL,5962,2,SQL*Plus-DDL,ALTER TABLE/CREATE TABLE
ORACLE,POSTGRESQL,5963,1,SQL*Plus,CONNECT
ORACLE,POSTGRESQL,5965,2,SQL*Plus-DDL,CREATE/ALTER/DROP
ORACLE,POSTGRESQL,5966,1,SQL*Plus-DDL,CREATE/ALTER/DROP
ORACLE,POSTGRESQL,5967,2,SQL*Plus-DDL,CREATE SYNONYM
ORACLE,POSTGRESQL,5968,0.5,SQL*Plus,CONNECT
ORACLE,POSTGRESQL,9999,8,,
ORACLE,POSTGRESQL,9998,8,,
ORACLE,POSTGRESQL,9997,0.5,,
ORACLE,POSTGRESQL,9996,3,INTERFACE - DB LINKS HEAVY QUERY,INTERFACE - DB LINKS HEAVY QUERY
ORACLE,POSTGRESQL,9995,8,,
ORACLE,POSTGRESQL,9994,2,FEATURES LIST - JOBS SCHEDULING - MLOG,
ORACLE,POSTGRESQL,9993,3,HIERARCHY QUERY /DBLINKS / PIVOT / UNPIVOT / DYNAMIC QUERY / UTL_FILE ,HIERARCHY QUERY /DBLINKS / PIVOT / UNPIVOT / DYNAMIC QUERY / UTL_FILE 
ORACLE,POSTGRESQL,9991,0.01,,
ORACLE,POSTGRESQL,9990,0.01,,
ORACLE,POSTGRESQL,9992,8,,
ORACLE,POSTGRESQL,100004,1,,
ORACLE,POSTGRESQL,5661,0.5,CREATE PARTITIONED TABLE - Interval,Proactive Create Partitions
ORACLE,POSTGRESQL,5100,2,GETXML,
ORACLE,POSTGRESQL,5127,2,CROSS JOIN - PERFORMANCE,CROSS JOIN - PERFORMANCE
ORACLE,POSTGRESQL,5662,0.1,Error Code Data type Mismatch,change Datatype 
ORACLE,POSTGRESQL,5977,4,SQL%BULK_EXCEPTIONS,
ORACLE,POSTGRESQL,5660,2,Resultset could vary from ORACLE,
ORACLE,POSTGRESQL,5096,2,,
ORACLE,POSTGRESQL,5663,1,PL/SQL PRAGMA IS UNSUPPORTED,
ORACLE,POSTGRESQL,5080,4,,
ORACLE,POSTGRESQL,5202,2,,
ORACLE,POSTGRESQL,5203,2,,
ORACLE,POSTGRESQL,5033,2,,
ORACLE,POSTGRESQL,5143,2,,
ORACLE,POSTGRESQL,5078,2,,
ORACLE,POSTGRESQL,5797,2,,
ORACLE,POSTGRESQL,5082,2,,
ORACLE,POSTGRESQL,5666,2,,
ORACLE,POSTGRESQL,5665,8,,
ORACLE,POSTGRESQL,5976,8,crypto(),
ORACLE,POSTGRESQL,1700,160,BUILT-IN SERVICES-Unsupported Built-in Object,
ORACLE,POSTGRESQL,1701,16,BUILT-IN SERVICES-Java Stored Object,
ORACLE,POSTGRESQL,1503,8,CREATE TABLE-External table,
ORACLE,POSTGRESQL,1500,1,Stored routines-Wrapped objects,
ORACLE,POSTGRESQL,1502,0.01,Storage-Deferred segment creation,
ORACLE,POSTGRESQL,1501,4,Parser Error-Parser Error,
ORACLE,POSTGRESQL,1504,2,Materialized view logs-Logs with Commit SCN,
ORACLE,POSTGRESQL,1505,2,Spatial-SPATIAL/LOCATOR,
ORACLE,POSTGRESQL,1506,2,Mail sending-UTL_MAIL,
ORACLE,POSTGRESQL,1507,4,DB LINK-Database link,
ORACLE,POSTGRESQL,1508,16,Mail sending-UTL_SMTP.STARTTLS,
ORACLE,POSTGRESQL,1509,100,Spatial-SDO_NET_MEM ,
ORACLE,POSTGRESQL,1510,3,DB LINK-Database link,
ORACLE,POSTGRESQL,1511,8,DB LINK-Database link,
ORACLE,POSTGRESQL,1512,1,Tablespace-Tablespace data file,
ORACLE,POSTGRESQL,1513,8,User Roles-User Roles and Privileges,
ORACLE,POSTGRESQL,1514,0.5,Directory Objects-rdsadmin_util,
ORACLE,POSTGRESQL,1515,8,Scheduler-Schedule- Job- Program,
ORACLE,MYSQL,502,40,,
ORACLE,MYSQL,500,8,,
ORACLE,MYSQL,503,160,,
ORACLE,MYSQL,311,160,,
ORACLE,MYSQL,313,80,,
ORACLE,MYSQL,314,0.1,,
ORACLE,MYSQL,316,160,,
ORACLE,MYSQL,415,160,,
ORACLE,MYSQL,126,40,,
ORACLE,MYSQL,501,8,,
ORACLE,MYSQL,26,160,,
ORACLE,MYSQL,341,4,,
ORACLE,MYSQL,196,4,,
ORACLE,MYSQL,348,2,,
ORACLE,MYSQL,321,80,,
ORACLE,MYSQL,323,80,,
ORACLE,MYSQL,194,8,,
ORACLE,MYSQL,217,40,,
ORACLE,MYSQL,94,20,,
ORACLE,MYSQL,97,40,,
ORACLE,MYSQL,266,8,,
ORACLE,MYSQL,31,8,,
ORACLE,MYSQL,128,40,,
ORACLE,MYSQL,206,0.5,,
ORACLE,MYSQL,207,0.5,,
ORACLE,MYSQL,208,40,,
ORACLE,MYSQL,317,40,,
ORACLE,MYSQL,324,40,,
ORACLE,MYSQL,583,40,,
ORACLE,MYSQL,190,40,,
ORACLE,MYSQL,191,4,,
ORACLE,MYSQL,192,40,,
ORACLE,MYSQL,195,8,,
ORACLE,MYSQL,218,8,,
ORACLE,MYSQL,330,1,,
ORACLE,MYSQL,331,2,,
ORACLE,MYSQL,30,40,,
ORACLE,MYSQL,351,40,,
ORACLE,MYSQL,576,4,,
ORACLE,MYSQL,200,2,,
ORACLE,MYSQL,302,16,,
ORACLE,MYSQL,253,3,,
ORACLE,MYSQL,193,3,,
ORACLE,MYSQL,95,8,,
ORACLE,MYSQL,343,2,,
ORACLE,MYSQL,354,8,,
ORACLE,MYSQL,93,8,,
ORACLE,MYSQL,63,1,,
ORACLE,MYSQL,122,2,,
ORACLE,MYSQL,342,2,,
ORACLE,MYSQL,198,2,,
ORACLE,MYSQL,199,8,,
ORACLE,MYSQL,201,8,,
ORACLE,MYSQL,296,8,,
ORACLE,MYSQL,327,8,,
ORACLE,MYSQL,328,0.5,,
ORACLE,MYSQL,699,8,,
ORACLE,MYSQL,306,2,,
ORACLE,MYSQL,77,8,,
ORACLE,MYSQL,78,8,,
ORACLE,MYSQL,212,1,,
ORACLE,MYSQL,214,1,,
ORACLE,MYSQL,152,8,,
ORACLE,MYSQL,90,0.5,,
ORACLE,MYSQL,594,8,,
ORACLE,MYSQL,127,8,,
ORACLE,MYSQL,303,8,,
ORACLE,MYSQL,340,8,,
ORACLE,MYSQL,125,8,,
ORACLE,MYSQL,121,8,,
ORACLE,MYSQL,28,8,,
ORACLE,MYSQL,29,8,,
ORACLE,MYSQL,294,8,,
ORACLE,MYSQL,335,4,,
ORACLE,MYSQL,337,2,,
ORACLE,MYSQL,344,0.5,,
ORACLE,MYSQL,346,1,,
ORACLE,MYSQL,504,8,,
ORACLE,MYSQL,600,8,,
ORACLE,MYSQL,87,6,,
ORACLE,MYSQL,118,4,,
ORACLE,MYSQL,119,4,,
ORACLE,MYSQL,242,4,,
ORACLE,MYSQL,244,4,,
ORACLE,MYSQL,320,2,,
ORACLE,MYSQL,234,2,,
ORACLE,MYSQL,235,1.5,,
ORACLE,MYSQL,68,1,,
ORACLE,MYSQL,70,1,,
ORACLE,MYSQL,333,2,,
ORACLE,MYSQL,64,1,,
ORACLE,MYSQL,65,1,,
ORACLE,MYSQL,66,1,,
ORACLE,MYSQL,293,4,,
ORACLE,MYSQL,295,4,,
ORACLE,MYSQL,597,4,,
ORACLE,MYSQL,88,3,,
ORACLE,MYSQL,140,2,,
ORACLE,MYSQL,138,2,,
ORACLE,MYSQL,139,2,,
ORACLE,MYSQL,141,0.5,,
ORACLE,MYSQL,143,2,,
ORACLE,MYSQL,144,0.1,,
ORACLE,MYSQL,220,2,,
ORACLE,MYSQL,225,2,,
ORACLE,MYSQL,209,0.1,,
ORACLE,MYSQL,215,0.1,,
ORACLE,MYSQL,240,2,,
ORACLE,MYSQL,241,2,,
ORACLE,MYSQL,243,2,,
ORACLE,MYSQL,310,2,,
ORACLE,MYSQL,588,2,,
ORACLE,MYSQL,245,2,,
ORACLE,MYSQL,25,2,,
ORACLE,MYSQL,69,1,,
ORACLE,MYSQL,71,1,,
ORACLE,MYSQL,72,1,,
ORACLE,MYSQL,89,2,,
ORACLE,MYSQL,599,2,,
ORACLE,MYSQL,102,2,,
ORACLE,MYSQL,338,2,,
ORACLE,MYSQL,339,2,,
ORACLE,MYSQL,582,2,,
ORACLE,MYSQL,585,1,,
ORACLE,MYSQL,85,1,,
ORACLE,MYSQL,329,0.2,,
ORACLE,MYSQL,345,0.2,,
ORACLE,MYSQL,210,1,,
ORACLE,MYSQL,332,0.2,,
ORACLE,MYSQL,349,0.2,,
ORACLE,MYSQL,236,1,,
ORACLE,MYSQL,237,1,,
ORACLE,MYSQL,238,1,,
ORACLE,MYSQL,524,1,,
ORACLE,MYSQL,334,1,,
ORACLE,MYSQL,336,1,,
ORACLE,MYSQL,211,0.5,,
ORACLE,MYSQL,350,0.5,,
ORACLE,MYSQL,356,1,,
ORACLE,MYSQL,297,1,,
ORACLE,MYSQL,499,1,,
ORACLE,MYSQL,598,1,,
ORACLE,MYSQL,202,0.5,,
ORACLE,MYSQL,203,0.5,,
ORACLE,MYSQL,204,0.5,,
ORACLE,MYSQL,325,0.5,,
ORACLE,MYSQL,213,0.5,,
ORACLE,MYSQL,216,0.5,,
ORACLE,MYSQL,33,0.5,,
ORACLE,MYSQL,32,0.5,,
ORACLE,MYSQL,67,0.5,,
ORACLE,MYSQL,355,0.5,,
ORACLE,MYSQL,27,0.5,,
ORACLE,MYSQL,326,0.2,,
ORACLE,MYSQL,358,0.2,,
ORACLE,MYSQL,103,0.1,,
ORACLE,MYSQL,84,0.1,,
ORACLE,MYSQL,596,0.1,,
ORACLE,MYSQL,82,0.1,,
ORACLE,MYSQL,83,0.1,,
ORACLE,MYSQL,81,0.1,,
ORACLE,MYSQL,205,0.1,,
ORACLE,MYSQL,239,0.1,,
ORACLE,MYSQL,312,0.1,,
ORACLE,MYSQL,75,0.1,,
ORACLE,MYSQL,590,0.1,,
ORACLE,MYSQL,357,0.1,,
ORACLE,MYSQL,352,0.01,,
ORACLE,MYSQL,595,0.01,,
ORACLE,MYSQL,591,0.01,,
ORACLE,MYSQL,593,0.01,,
DB2,POSTGRESQL,4500,0.5,CREATE TABLE-Local Variables-Parameters,TIMESTAMP(n>6)  Data Type
DB2,POSTGRESQL,4503,8,CREATE TABLE,CREATING GLOBAL TEMPORARY TABLE
DB2,POSTGRESQL,4504,2,CREATE TABLE,IMPLICITLY HIDDEN
DB2,POSTGRESQL,4501,0.5,SPECIAL DATETIME REGISTERING FUNCTIONS,
DB2,POSTGRESQL,4502,0.5,SPECIAL REGISTERING FUNCTIONS,
DB2,POSTGRESQL,4505,2,CHECK CONSTRAINT,DETERMINED BY
DB2,POSTGRESQL,4506,2,DML,VIEW
DB2,POSTGRESQL,4507,0.5,CONSTRAINTS,NOT ENFORCED
DB2,POSTGRESQL,4508,0.1,CREATE TABLE,NOT LOGGED lob column
DB2,POSTGRESQL,4509,2,SEQUENCE,
DB2,POSTGRESQL,4510,2,DDL,CREATE INDEX
DB2,POSTGRESQL,4511,8,MATERIALIZED QUERY TABLES,CREATE TABLE 
DB2,POSTGRESQL,4512,8,CREATE TABLE,PARTITIONED TABLE
DB2,POSTGRESQL,4513,4,CREATE INDEX,PARTITIONED INDEX
DB2,POSTGRESQL,4514,0.1,CREATE INDEX,INCLUDE OPTION
DB2,POSTGRESQL,4515,2,CREATE TRIGGER,REFERENCING
DB2,POSTGRESQL,4516,4,CREATE TYPE,ARRAY TYPE
DB2,POSTGRESQL,4517,2,CREATE TYPE,CURSOR
